xor,data,run,acc,time,ok
7,750000,1,50.37%,14,0
7,750000,2,50.32%,15,0
7,750000,3,50.22%,14,0
7,750000,4,50.16%,14,0
7,750000,5,50.66%,14,0
7,1000000,1,50.22%,19,0
7,1000000,2,99.30%,19,1
7,1000000,3,99.09%,19,1
7,1000000,4,49.97%,19,0
7,1000000,5,51.19%,19,0
7,1250000,1,99.31%,25,1
7,1250000,2,99.27%,24,1
7,1250000,3,99.24%,25,1
7,1250000,4,99.28%,24,1
7,1250000,5,99.31%,24,1
7,1500000,1,99.36%,28,1
7,1500000,2,99.36%,29,1
7,1500000,3,50.26%,29,0
7,1500000,4,99.38%,29,1
7,1500000,5,50.14%,29,0
7,1250000,6,99.39%,270,1
7,1250000,7,99.43%,277,1
7,1250000,8,50.01%,87,0
7,1250000,9,99.43%,260,1
7,1250000,10,50.70%,84,0
