xor,data,run,acc,time,ok
7,500000,1,50.36%,9,0
7,500000,2,50.50%,9,0
7,500000,3,50.34%,9,0
7,500000,4,50.51%,9,0
7,500000,5,49.87%,10,0
7,1000000,1,51.01%,19,0
7,1000000,2,50.26%,19,0
7,1000000,3,51.36%,19,0
7,1000000,4,99.28%,19,1
7,1000000,5,50.01%,19,0
7,2000000,1,99.39%,38,1
7,2000000,2,99.42%,40,1
7,2000000,3,99.38%,39,1
7,2000000,4,99.43%,39,1
7,2000000,5,99.40%,40,1
7,5000000,1,99.54%,102,1
7,5000000,2,99.52%,101,1
7,5000000,3,99.53%,102,1
7,5000000,4,99.48%,101,1
7,5000000,5,99.55%,101,1
