xor,data,run,acc,time,ok
8,6000000,1,99.25%,354,1
8,6000000,2,50.03%,354,0
8,6000000,3,50.07%,350,0
8,6000000,4,50.13%,351,0
8,6000000,5,50.07%,357,0
8,6000000,6,50.06%,354,0
8,6000000,7,99.10%,349,1
8,6000000,8,99.10%,353,1
8,6000000,9,50.53%,352,0
8,6000000,10,99.16%,343,1
8,6000000,11,51.03%,344,0
8,6000000,12,99.17%,342,1
8,6000000,13,50.36%,345,0
8,6000000,14,51.18%,346,0
8,6000000,15,50.05%,344,0
8,6000000,16,50.13%,345,0
8,6000000,17,50.05%,344,0
8,6000000,18,99.08%,345,1
8,6000000,19,49.97%,342,0
8,6000000,20,50.07%,347,0
