xor,data,run,mlp_acc,mlp_time,lr_acc,lr_time
6,300000,1,50.25%,16,49.59%,2
6,300000,2,49.95%,16,50.22%,2
6,300000,3,98.90%,16,50.06%,2
6,300000,4,50.04%,16,49.49%,2
6,300000,5,51.23%,17,49.90%,2
6,300000,6,98.43%,17,50.17%,2
6,300000,7,50.16%,18,50.12%,2
6,300000,8,49.72%,18,49.91%,2
6,300000,9,98.80%,16,50.06%,2
6,300000,10,50.01%,17,49.96%,2
6,400000,1,99.14%,22,50.26%,2
6,400000,2,99.16%,21,49.96%,2
6,400000,3,99.11%,21,50.21%,2
6,400000,4,99.13%,23,50.24%,2
6,400000,5,99.02%,22,49.77%,2
6,400000,6,51.48%,22,49.73%,2
6,400000,7,98.77%,22,49.99%,2
6,400000,8,50.83%,21,49.84%,3
6,400000,9,98.21%,22,50.01%,2
6,400000,10,99.10%,22,49.83%,2
6,500000,1,99.25%,27,50.12%,2
6,500000,2,99.23%,27,50.31%,3
6,500000,3,99.24%,28,50.02%,3
6,500000,4,99.20%,26,49.89%,3
6,500000,5,99.19%,27,50.08%,3
6,500000,6,99.14%,27,49.89%,3
6,500000,7,49.98%,27,49.86%,3
6,500000,8,99.23%,27,50.21%,3
6,500000,9,99.21%,27,50.24%,3
6,500000,10,98.99%,27,50.03%,3
8,5000000,1,50.03%,277,0.00%,0
8,5000000,2,49.96%,276,0.00%,0
8,5000000,3,50.03%,277,0.00%,0
8,5000000,4,99.19%,277,0.00%,0
8,5000000,5,50.50%,276,0.00%,0
8,5000000,6,49.99%,276,0.00%,0
8,5000000,7,49.96%,276,0.00%,0
8,5000000,8,49.98%,276,0.00%,0
8,5000000,9,99.08%,276,0.00%,0
8,5000000,10,50.18%,276,0.00%,0
8,5500000,1,50.12%,306,0.00%,0
8,5500000,2,50.01%,307,0.00%,0
8,5500000,3,99.17%,306,0.00%,0
8,5500000,4,50.05%,305,0.00%,0
8,5500000,5,99.34%,305,0.00%,0
8,5500000,6,99.11%,306,0.00%,0
8,5500000,7,50.01%,322,0.00%,0
8,5500000,8,99.05%,307,0.00%,0
8,5500000,9,49.94%,305,0.00%,0
8,5500000,10,50.03%,305,0.00%,0
