timestamp,xor,data,model,acc,success,time_s,params,killed
2026-07-11T23:45:16.315561,6,400000,NNModel_baseline,99.00%,1,314.8,6305,False
2026-07-11T23:50:40.734941,6,400000,NNModel_fc,96.26%,1,324.3,818,False
2026-07-12 00:21:19,6,400000,NNModel_baseline,98.93%,1,322.2,6305,
2026-07-12 00:27:40,6,400000,NNModel_fc,51.29%,0,333.6,818,
2026-07-12 01:08:57,6,400000,IterSplit_v2,49.57%,0,2430.2,1619,
2026-07-12 01:17:47,6,600000,NNModel_baseline,99.12%,1,462.9,6305,
2026-07-12 01:27:05,6,600000,NNModel_fc,99.47%,1,492.0,818,
2026-07-12 02:29:22,6,600000,IterSplit_v2,49.79%,0,3668.3,1619,
2026-07-12 02:44:28,8,1000000,NNModel_baseline,50.27%,0,789.2,74369,
2026-07-12 03:00:11,8,1000000,NNModel_fc,49.86%,0,828.9,2146,
2026-07-12 04:50:00,8,1000000,IterSplit_v2,50.27%,0,6471.1,4259,
2026-07-12 05:20:04,8,2000000,NNModel_baseline,49.91%,0,1571.1,74369,
2026-07-12 05:51:36,8,2000000,NNModel_fc,49.88%,0,1664.2,2146,
