name,xor,data,run,mlp_acc,mlp_time,lr_acc,lr_time
6X_350k,6,350000,1,98.99%,20,49.88%,2
6X_350k,6,350000,2,49.89%,20,50.40%,2
6X_350k,6,350000,3,50.06%,19,49.89%,2
6X_350k,6,350000,4,49.80%,19,50.13%,2
6X_350k,6,350000,5,49.85%,19,50.07%,2
6X_350k,6,350000,6,50.92%,20,50.00%,2
6X_350k,6,350000,7,50.55%,19,50.09%,2
6X_350k,6,350000,8,49.90%,19,50.05%,2
6X_350k,6,350000,9,50.46%,20,49.47%,2
6X_350k,6,350000,10,50.65%,19,49.96%,2
6X_450k,6,450000,1,99.16%,24,49.84%,3
6X_450k,6,450000,2,99.10%,26,50.13%,2
6X_450k,6,450000,3,50.14%,24,50.22%,2
6X_450k,6,450000,4,99.19%,25,50.08%,2
6X_450k,6,450000,5,99.08%,25,50.09%,3
6X_450k,6,450000,6,99.16%,25,49.49%,3
6X_450k,6,450000,7,99.13%,25,50.36%,3
6X_450k,6,450000,8,99.16%,25,50.01%,3
6X_450k,6,450000,9,50.03%,24,50.04%,3
6X_450k,6,450000,10,52.89%,26,49.89%,3
8X_6M,8,6000000,1,49.95%,345,0.00%,0
8X_6M,8,6000000,2,99.15%,347,0.00%,0
8X_6M,8,6000000,3,49.97%,348,0.00%,0
8X_6M,8,6000000,4,50.08%,349,0.00%,0
8X_6M,8,6000000,5,50.43%,351,0.00%,0
8X_6M,8,6000000,6,49.91%,342,0.00%,0
8X_6M,8,6000000,7,99.35%,342,0.00%,0
8X_6M,8,6000000,8,50.07%,341,0.00%,0
8X_6M,8,6000000,9,50.01%,340,0.00%,0
8X_6M,8,6000000,10,50.06%,341,0.00%,0
4X_100k,4,100000,1,97.83%,6,49.63%,1
4X_100k,4,100000,2,97.07%,5,49.90%,1
4X_100k,4,100000,3,98.21%,5,49.73%,1
4X_100k,4,100000,4,97.67%,5,50.24%,1
4X_100k,4,100000,5,98.30%,5,49.93%,1
4X_100k,4,100000,6,76.04%,5,49.61%,1
4X_100k,4,100000,7,96.73%,5,51.35%,1
4X_100k,4,100000,8,98.35%,6,50.03%,1
4X_100k,4,100000,9,97.66%,5,50.89%,1
4X_100k,4,100000,10,96.68%,5,49.94%,1
4X_200k,4,200000,1,98.77%,11,51.25%,1
4X_200k,4,200000,2,98.78%,11,50.38%,1
4X_200k,4,200000,3,99.15%,11,49.94%,2
4X_200k,4,200000,4,98.80%,11,50.02%,2
4X_200k,4,200000,5,99.03%,11,50.43%,1
4X_200k,4,200000,6,98.48%,11,49.82%,2
4X_200k,4,200000,7,98.94%,11,50.32%,1
4X_200k,4,200000,8,99.00%,11,50.37%,1
4X_200k,4,200000,9,98.85%,11,50.41%,1
4X_200k,4,200000,10,99.00%,11,50.04%,1
