ts,name,xor,data,val,test,time,params,ok,note
16:29:44,iPUF_2_2_1M,4,1000000,99.7%,99.67%,169,809,1,equiv_xor=4
16:36:04,iPUF_2_2_2M,4,2000000,99.8%,99.79%,330,809,1,equiv_xor=4
16:52:02,iPUF_2_2_5M,4,5000000,99.9%,99.86%,828,809,1,equiv_xor=4
16:55:21,iPUF_2_4_1M,6,1000000,99.7%,99.64%,167,6305,1,equiv_xor=6
17:02:09,iPUF_2_4_2M,6,2000000,99.7%,99.67%,342,6305,1,equiv_xor=6
17:19:44,iPUF_2_4_5M,6,5000000,99.9%,99.88%,861,6305,1,equiv_xor=6
17:23:11,iPUF_4_2_1M,6,1000000,99.7%,99.64%,172,6305,1,equiv_xor=6
17:30:05,iPUF_4_2_2M,6,2000000,99.8%,99.78%,345,6305,1,equiv_xor=6
17:47:23,iPUF_4_2_5M,6,5000000,99.9%,99.91%,866,6305,1,equiv_xor=6
17:51:03,iPUF_4_4_1M,7,1000000,99.1%,99.05%,176,20801,1,equiv_xor=7
17:58:03,iPUF_4_4_2M,7,2000000,99.5%,99.52%,339,20801,1,equiv_xor=7
18:15:28,iPUF_4_4_5M,7,5000000,99.7%,99.73%,844,20801,1,equiv_xor=7
18:17:48,BigMLP_8XOR_2M,8,2000000,50.7%,50.05%,136,1083905,0,k=10_1.2Mparams
