xor,data,run,val,test,time,ok
6,300000,1,51.5%,50.11%,22,0
6,300000,2,99.1%,99.23%,71,1
6,300000,3,99.3%,99.13%,70,1
6,300000,4,52.7%,51.09%,70,0
6,350000,1,53.1%,53.07%,87,0
6,350000,2,51.8%,50.25%,25,0
6,350000,3,51.0%,50.43%,26,0
6,350000,4,51.5%,49.93%,27,0
6,400000,1,51.1%,50.20%,30,0
6,400000,2,50.8%,50.27%,28,0
6,400000,3,51.2%,49.94%,30,0
6,400000,4,99.5%,99.40%,97,1
6,450000,1,51.6%,50.84%,33,0
6,450000,2,99.5%,99.34%,107,1
6,450000,3,99.5%,99.44%,107,1
6,450000,4,99.4%,99.43%,107,1
8,5000000,1,50.4%,49.85%,380,0
8,5000000,2,50.5%,50.00%,375,0
8,5000000,3,50.3%,50.03%,376,0
8,5000000,4,99.6%,99.60%,1246,1
8,5200000,1,50.3%,50.09%,392,0
8,5200000,2,50.3%,49.96%,399,0
8,5200000,3,50.4%,50.03%,385,0
8,5200000,4,50.3%,50.00%,392,0
8,5400000,1,50.3%,49.98%,408,0
8,5400000,2,50.3%,50.00%,401,0
8,5400000,3,99.5%,99.49%,1352,1
8,5400000,4,50.4%,50.01%,408,0
8,5500000,1,50.4%,50.11%,420,0
8,5500000,2,99.5%,99.51%,1381,1
8,5500000,3,99.5%,99.51%,1383,1
8,5500000,4,99.5%,99.48%,1384,1
