xor,data,run,test,ok
6,300000,1,49.68%,0
6,300000,2,50.16%,0
6,300000,3,50.38%,0
6,300000,4,99.23%,1
6,300000,5,99.20%,1
6,300000,6,50.24%,0
6,300000,7,99.24%,1
6,300000,8,50.55%,0
6,300000,9,49.94%,0
6,300000,10,49.97%,0
6,350000,1,49.78%,0
6,350000,2,50.22%,0
6,350000,3,99.27%,1
6,350000,4,99.33%,1
6,350000,5,99.35%,1
6,350000,6,99.33%,1
6,350000,7,50.14%,0
6,350000,8,49.77%,0
6,350000,9,50.09%,0
6,350000,10,99.39%,1
6,400000,1,49.85%,0
6,400000,2,99.09%,1
6,400000,3,99.42%,1
6,400000,4,50.18%,0
6,400000,5,49.92%,0
6,400000,6,99.35%,1
6,400000,7,50.44%,0
6,400000,8,99.42%,1
6,400000,9,50.02%,0
6,400000,10,50.21%,0
8,5000000,1,49.89%,0
8,5000000,2,50.04%,0
8,5000000,3,50.00%,0
8,5000000,4,50.00%,0
8,5000000,5,99.45%,1
8,5000000,6,50.03%,0
8,5000000,7,99.48%,1
8,5000000,8,99.60%,1
8,5000000,9,99.42%,1
8,5000000,10,50.06%,0
8,5200000,1,99.49%,1
8,5200000,2,99.45%,1
8,5200000,3,50.01%,0
8,5200000,4,50.00%,0
8,5200000,5,99.53%,1
8,5200000,6,49.89%,0
8,5200000,7,50.03%,0
8,5200000,8,50.04%,0
8,5200000,9,99.51%,1
8,5200000,10,49.97%,0
8,5400000,1,50.25%,0
8,5400000,2,50.00%,0
8,5400000,3,99.45%,1
8,5400000,4,50.09%,0
8,5400000,5,49.93%,0
8,5400000,6,50.04%,0
8,5400000,7,49.97%,0
8,5400000,8,50.06%,0
8,5400000,9,99.54%,1
8,5400000,10,99.62%,1
